tenant_id,customer_id,external_tx_id,amount,currency,tx_timestamp,classification,merchant_category,device_id,ip_address_hash,location_country,channel,source,notes
550e8400-e29b-41d4-a716-446655440000,cfb24afb-022a-4285-81c1-260916fbd235,txn-000001,358.37,USD,2025-01-01T08:00:00Z,CONFIRMED_LEGIT,RETAIL,device-0020,ip-hash-130,US,MOBILE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,0ad15ddf-a279-4741-9b40-b31da39aabfc,txn-000002,220.39,USD,2025-01-01T08:12:00Z,FALSE_POSITIVE,RETAIL,device-ring-4,ip-hash-148,GB,MOBILE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,12d237c4-a9a6-461f-8037-4ae8503c294d,txn-000003,124.19,USD,2025-01-01T08:44:00Z,FALSE_POSITIVE,RETAIL,device-0002,ip-hash-27,US,WEB,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,b1a6e583-9c3c-4797-9a6d-2392a503e29e,txn-000004,510.11,GHS,2025-01-01T09:06:00Z,FALSE_POSITIVE,RETAIL,device-0035,ip-hash-199,NG,WEB,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,66b65ef7-c43a-4fa7-93fd-f6744a6c2a3c,txn-000005,273.29,USD,2025-01-01T08:48:00Z,FALSE_POSITIVE,GAMBLING,device-0059,ip-hash-148,NG,WEB,ANALYST,
550e8400-e29b-41d4-a716-446655440000,68a2275e-75fc-4735-a27c-bf3202a39d44,txn-000006,550.02,GHS,2025-01-01T08:50:00Z,FALSE_POSITIVE,RETAIL,device-0046,ip-hash-39,GB,WEB,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,018a0c3d-fd9a-4168-bd98-1a07a6f59d94,txn-000007,4171.68,GHS,2025-01-01T09:30:00Z,CONFIRMED_FRAUD,CRYPTO,device-0042,ip-hash-153,GB,WEB,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,86e0094f-5279-48e3-a13b-f12987e95aff,txn-000008,2327.61,GHS,2025-01-01T08:21:00Z,CONFIRMED_FRAUD,CRYPTO,device-0053,ip-hash-166,GB,WEB,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,c2d52b65-7125-4c6c-81b5-f23a71f7f771,txn-000009,315.57,USD,2025-01-01T10:40:00Z,FALSE_POSITIVE,CRYPTO,device-ring-4,ip-hash-56,NG,MOBILE,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,ec4d73e7-ee0b-4bb0-b008-a279af0b962d,txn-000010,825.55,USD,2025-01-01T09:57:00Z,FALSE_POSITIVE,RETAIL,device-ring-2,ip-hash-111,NG,WEB,ANALYST,
550e8400-e29b-41d4-a716-446655440000,215b6da3-fe6a-4cd5-ae18-656f9cccff21,txn-000011,862.17,USD,2025-01-01T10:00:00Z,FALSE_POSITIVE,RETAIL,device-0043,ip-hash-4,GB,MOBILE,ANALYST,
550e8400-e29b-41d4-a716-446655440000,83633d31-12e2-4780-ad8a-7e887b2f5766,txn-000012,3281.26,USD,2025-01-01T12:57:00Z,CONFIRMED_FRAUD,GAMBLING,device-ring-3,ip-hash-117,GB,WEB,ANALYST,
550e8400-e29b-41d4-a716-446655440000,332d4391-de83-44c7-8fcf-bd96fc38a1b0,txn-000013,4659.45,USD,2025-01-01T10:00:00Z,CONFIRMED_FRAUD,GAMBLING,device-ring-4,ip-hash-88,GH,MOBILE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,4d8b3598-a085-4e4c-b8d2-3535a7c0d8da,txn-000014,1249.37,GHS,2025-01-01T08:13:00Z,CONFIRMED_FRAUD,GAMBLING,device-0036,ip-hash-39,NG,WEB,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,20f0e7cc-7d31-4241-a64b-155f10a0f09c,txn-000015,108.24,USD,2025-01-01T11:16:00Z,FALSE_POSITIVE,RETAIL,device-0023,ip-hash-37,GH,WEB,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,f13dfd0b-f834-4127-8921-3259bec79f3a,txn-000016,624.39,USD,2025-01-01T12:00:00Z,FALSE_POSITIVE,RETAIL,device-ring-3,ip-hash-177,GH,WEB,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,fdd04571-d21d-45f8-96c5-93c81cfa3bb7,txn-000017,6010.86,USD,2025-01-01T12:16:00Z,CONFIRMED_FRAUD,CRYPTO,device-0055,ip-hash-137,NG,MOBILE,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,63274ce6-b514-4acc-938e-00a9fee17e65,txn-000018,683.7,USD,2025-01-01T12:49:00Z,FALSE_POSITIVE,RETAIL,device-0051,ip-hash-52,GB,WEB,SYSTEM,
