tenant_id,customer_id,external_tx_id,amount,currency,tx_timestamp,merchant_category,merchant_id,device_id,ip_address_hash,location_country,channel,classification,source,notes
550e8400-e29b-41d4-a716-446655440000,d6e2346c-9d86-4bcb-9d90-7620db1b53e6,txn-000001,357.16,USD,2025-01-01T08:00:00Z,RETAIL,,device-020,ip-hash-94,GH,MOBILE,CONFIRMED_LEGIT,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,de01a930-3760-46f6-aaa0-6d5343eb6978,txn-000002,65.66,USD,2025-01-01T08:05:00Z,RETAIL,,device-ring-1,ip-hash-58,GH,WEB,FALSE_POSITIVE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,b2e12be3-69df-4da0-9a61-00763fb1e424,txn-000003,6108.35,USD,2025-01-01T08:10:00Z,GAMBLING,,device-ring-2,ip-hash-147,NG,MOBILE,CONFIRMED_FRAUD,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,34b373cf-94d4-47d0-a264-7d20f4fc16e7,txn-000004,171.52,USD,2025-01-01T08:15:00Z,RETAIL,,device-037,ip-hash-145,GH,MOBILE,FALSE_POSITIVE,ANALYST,
550e8400-e29b-41d4-a716-446655440000,e44d2b32-8770-4e67-a85e-8a7116423136,txn-000005,284.79,GHS,2025-01-01T08:20:00Z,RETAIL,,device-034,ip-hash-93,NG,MOBILE,FALSE_POSITIVE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,aff77baa-f8d1-440e-9d72-d610bd25b1e0,txn-000006,2591.57,GHS,2025-01-01T08:25:00Z,CRYPTO,,device-ring-2,ip-hash-74,GH,MOBILE,CONFIRMED_FRAUD,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,48c158f7-2fbb-44a8-8e67-c3b2c2c536c6,txn-000007,2854.95,USD,2025-01-01T08:30:00Z,RETAIL,,device-ring-4,ip-hash-196,NG,WEB,CONFIRMED_FRAUD,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,1e75f7de-4a54-432c-8a46-fc89fbdb7b4b,txn-000008,523.17,GHS,2025-01-01T08:35:00Z,RETAIL,,device-022,ip-hash-122,GH,MOBILE,FALSE_POSITIVE,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,b100e8be-9af6-4828-9710-8607a20ae86f,txn-000009,893.81,GHS,2025-01-01T08:40:00Z,GAMBLING,,device-ring-3,ip-hash-172,NG,MOBILE,FALSE_POSITIVE,ANALYST,
550e8400-e29b-41d4-a716-446655440000,1e75f7de-4a54-432c-8a46-fc89fbdb7b4b,txn-000010,1437.7,USD,2025-01-01T08:45:00Z,GAMBLING,,device-022,ip-hash-190,US,WEB,CONFIRMED_FRAUD,ANALYST,
550e8400-e29b-41d4-a716-446655440000,358177b9-20c2-4b00-ba68-55985805620c,txn-000011,3529.88,GHS,2025-01-01T08:50:00Z,CRYPTO,,device-031,ip-hash-141,NG,WEB,CONFIRMED_FRAUD,ANALYST,
550e8400-e29b-41d4-a716-446655440000,6d3cbed7-d60a-4c2a-87fc-b0cc83f7d5bb,txn-000012,138.38,USD,2025-01-01T08:55:00Z,RETAIL,,device-ring-4,ip-hash-4,GB,MOBILE,CONFIRMED_LEGIT,ANALYST,
550e8400-e29b-41d4-a716-446655440000,ccc4bb6f-f9dc-4f4f-9f4d-a697181a299d,txn-000013,3339.36,USD,2025-01-01T09:00:00Z,GAMBLING,,device-ring-3,ip-hash-177,GH,WEB,CONFIRMED_FRAUD,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,98fbb92e-c90d-4e6a-8b20-8f73c53711ff,txn-000014,360.88,GHS,2025-01-01T09:05:00Z,RETAIL,,device-035,ip-hash-16,US,MOBILE,FALSE_POSITIVE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,bc1aa172-6917-4837-90dc-fbac6a4347f5,txn-000015,2842.34,USD,2025-01-01T09:10:00Z,GAMBLING,,device-ring-4,ip-hash-138,GH,WEB,CONFIRMED_FRAUD,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,3ccffe7f-49d3-4714-ad46-beeb3096ec14,txn-000016,2010.1,GHS,2025-01-01T09:15:00Z,GAMBLING,,device-ring-1,ip-hash-155,NG,WEB,CONFIRMED_FRAUD,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,05125ad5-15c9-4b08-8f94-3a158a9636a1,txn-000017,893.81,USD,2025-01-01T09:20:00Z,RETAIL,,device-ring-1,ip-hash-37,GH,WEB,FALSE_POSITIVE,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,994ecb98-12bf-456d-ac71-00ed63da4fad,txn-000018,623.77,GHS,2025-01-01T09:25:00Z,RETAIL,,device-ring-3,ip-hash-38,GH,WEB,FALSE_POSITIVE,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,de01a930-3760-46f6-aaa0-6d5343eb6978,txn-000019,237.22,USD,2025-01-01T09:30:00Z,RETAIL,,device-ring-1,ip-hash-137,NG,MOBILE,FALSE_POSITIVE,SYSTEM,
550e8400-e29b-41d4-a716-446655440000,cc5e94ad-a150-4f74-8ec3-eff7c5360a59,txn-000020,737.04,GHS,2025-01-01T09:35:00Z,RETAIL,,device-ring-2,ip-hash-92,GH,MOBILE,FALSE_POSITIVE,ANALYST,
550e8400-e29b-41d4-a716-446655440000,7fd55295-363c-4176-88a9-876a3800be5c,txn-000021,624.19,GHS,2025-01-01T09:40:00Z,CRYPTO,,device-ring-4,ip-hash-94,GH,MOBILE,FALSE_POSITIVE,CHARGEBACK,
550e8400-e29b-41d4-a716-446655440000,b2e12be3-69df-4da0-9a61-00763fb1e424,txn-000022,305.95,USD,2025-01-01T09:45:00Z,RETAIL,,device-014,ip-hash-123,NG,MOBILE,FALSE_POSITIVE,SYSTEM,
